AirlineName,AirlineCode,Designator,Alliance
Adria Airways,JP,165,Star Alliance
Aegean Airlines,A3,390,Star Alliance
Aer Arann,RE,809,
Aer Lingus,EI,53,
Aeroflot Russian Airlines,SU,555,SkyTeam
Aerolineas Argentinas,AR,44,
Aeromexico,AM,139,SkyTeam
Air Algerie,AH,124,
Air Astana,KC,465,
Air Canada,AC,14,Star Alliance
Air China,CA,999,Star Alliance
Air Europa,UX,996,SkyTeam
Air France,AF,57,SkyTeam
Air India,AI,98,Star Alliance
Air Malta,KM,643,
Air Namibia,SW,186,
Air New Zealand,NZ,86,Star Alliance
Air Seychelles,HM,61,
Air Tahiti,VT,135,
Air Zimbabwe,UM,168,
Alaska Airlines,AS,27,
Alitalia,AZ,55,SkyTeam
All Nippon Airways,NH,205,Star Alliance
American Airlines,AA,1,Oneworld
Arik Air,W3,725,
Asiana Airlines,OZ,988,Star Alliance
Atlantic Airways,RC,767,
Aurigny,GR,924,
Austrian Airlines,OS,257,Star Alliance
Avianca,AV,134,
Azerbaijan Hava Yollary,J2,771,
Bangkok Airways,PG,829,
Blue1,KF,142,Star Alliance
British Airways,BA,125,Oneworld
Brussels Airlines,SN,82,Star Alliance
Bulgaria Air,FB,623,
Cathay Pacific,CX,160,Oneworld
Czech Airlines,OK,64,SkyTeam
China Airlines,CI,297,SkyTeam
China Eastern Airlines,MU,781,SkyTeam
China Southern Airlines,CZ,784,SkyTeam
Croatia Airlines,OU,831,Star Alliance
Cyprus Airways,CY,48,
Delta Air Lines,DL,6,SkyTeam
Eastern Airways,T3,,
Egyptair,MS,77,Star Alliance
El Al Israel Airlines,LY,114,
Emirates,EK,176,
Estonian Air,OV,960,
Ethiopian Airlines,ET,71,Star Alliance
Etihad Airways,EY,607,
Eva Air,BR,695,Star Alliance
Finnair,AY,105,Oneworld
Flybe,BE,267,
Garuda Indonesia,GA,126,SkyTeam
Gulf Air,GF,72,
HAHN Air,HR,169,
Hong Kong Airlines,HX,851,
Iberia,IB,75,Oneworld
Icelandair,FI,108,
Japan Airlines,JL,131,Oneworld
Jet Airways,9W,589,
Kenya Airways,KQ,706,SkyTeam
KLM Royal Dutch Airlines,KL,74,SkyTeam
Korean Air,KE,180,SkyTeam
Kuwait Airways,KU,229,
LAN Colombia,LA,45,Oneworld
LOT - Polish Airlines,LO,80,Star Alliance
Lufthansa,LH,220,Star Alliance
Luxair,LG,149,
Malaysia Airlines,MH,232,Oneworld
Middle East Airlines,ME,76,SkyTeam
Meridiana,IG,191,
Mexicana,MX,132,Oneworld
Northwest Airlines,NW,,
Norwegian Air Shuttle,DY,328,
Olympic Air,OA,50,
Oman Air,WY,910,
Rossiya-Russia Airlines,FV,195,
Qantas Airways,QF,81,Oneworld
Qatar Airways,QR,157,Oneworld
Royal Air Maroc,AT,147,
Royal Brunei Airlines,BI,672,
Royal Jordanian,RJ,512,Oneworld
Siberia Airlines,S7,421,Oneworld
Saudi Arabian Airlines,SV,65,
Scandinavian Airlines System (SAS),SK,117,Star Alliance
Singapore Airlines,SQ,618,Star Alliance
South African Airways,SA,83,Star Alliance
Spanair,JK,680,Star Alliance
SriLankan Airlines,UL,603,Oneworld
SWISS International Air Lines,LX,724,Star Alliance
TAM Airlines,JJ,957,Oneworld
TAP Portugal,TP,47,Star Alliance
Tarom,RO,281,SkyTeam
Thai Airways International,TG,217,Star Alliance
Transaero Airlines,UN,670,
Tunisair,TU,199,
Turkish Airlines,TK,235,Star Alliance
Ukraine International Airlines,PS,566,
United Airlines,UA,16,Star Alliance
US Airways,US,37,Oneworld
Uzbekistan Airways,HY,250,
Vietnam Airlines,VN,738,SkyTeam
Virgin Atlantic Airways,VS,932,
